,1,2,3,4,5,6,7,8
0,BD,0.3895,3,0.5342,ABD,0.1285,1,0.3457
1,AB,0.385,1,0.5674,ABE,0.1146,2,0.3191
2,AE,0.3504,4,0.5317,BDE,0.112,5,0.2791
3,AC,0.3263,10,0.4417,ABH,0.1089,4,0.2833
4,BE,0.3166,7,0.4711,BDH,0.1031,11,0.2447
5,AD,0.315,5,0.5057,ABG,0.1026,9,0.2504
6,DE,0.3078,2,0.5355,ABC,0.1009,8,0.2513
7,BC,0.2815,19,0.3562,ACE,0.0994,14,0.2389
8,BH,0.2778,13,0.4245,BEH,0.0993,12,0.2394
9,AG,0.275,12,0.4248,ADE,0.0956,3,0.2861
10,AH,0.2639,11,0.4341,AEG,0.0919,10,0.245
11,EH,0.2593,6,0.4938,AEH,0.0898,6,0.2626
12,DH,0.2585,9,0.444,ACD,0.0889,15,0.2356
13,EJ,0.2529,15,0.3952,BCD,0.0848,19,0.2173
14,GH,0.2503,14,0.3992,ADH,0.0787,13,0.2393
15,EG,0.2495,8,0.4582,EHJ,0.0754,17,0.2289
16,BG,0.2438,17,0.3693,BEG,0.0747,-,-
17,CD,0.2383,20,0.3464,EGH,0.0742,16,0.2302
18,CE,0.238,22,0.3321,ACG,0.0741,-,-
19,IK,0.2232,-,-,BCE,0.0734,-,-
