,1,2,3,4,5,6,7,8
0,BD,0.3895,3,0.6623,ABD,0.1285,1,0.4935
1,AB,0.385,1,0.6835,ABE,0.1146,2,0.4846
2,AE,0.3504,4,0.6533,BDE,0.112,3,0.4529
3,AC,0.3263,10,0.5839,ABH,0.1089,5,0.4328
4,BE,0.3166,6,0.6298,BDH,0.1031,9,0.4037
5,AD,0.315,7,0.6033,ABG,0.1026,8,0.408
6,DE,0.3078,2,0.6704,ABC,0.1009,12,0.3832
7,BC,0.2815,20,0.4446,ACE,0.0994,18,0.3607
8,BH,0.2778,11,0.5635,BEH,0.0993,11,0.3945
9,AG,0.275,12,0.5593,ADE,0.0956,4,0.4419
10,AH,0.2639,13,0.5559,AEG,0.0919,10,0.3981
11,EH,0.2593,5,0.6447,AEH,0.0898,7,0.4159
12,DH,0.2585,9,0.591,ACD,0.0889,19,0.3562
13,EJ,0.2529,17,0.4878,BCD,0.0848,25,0.3206
14,GH,0.2503,16,0.516,ADH,0.0787,14,0.3787
15,EG,0.2495,8,0.5997,EHJ,0.0754,22,0.3318
16,BG,0.2438,15,0.5207,BEG,0.0747,20,0.3554
17,CD,0.2383,23,0.4128,EGH,0.0742,16,0.3693
18,CE,0.238,21,0.421,ACG,0.0741,33,0.2787
19,IK,0.2232,57,0.2698,BCE,0.0734,28,0.2974
