,1,2,3,4,5,6,7,8
0,BD,0.3895,4,0.7032,ABD,0.1285,2,0.5481
1,AB,0.385,1,0.7261,ABE,0.1146,1,0.5548
2,AE,0.3504,3,0.7035,BDE,0.112,3,0.5251
3,AC,0.3263,11,0.6225,ABH,0.1089,6,0.4976
4,BE,0.3166,6,0.6853,BDH,0.1031,7,0.486
5,AD,0.315,9,0.6391,ABG,0.1026,10,0.4791
6,DE,0.3078,5,0.703,ABC,0.1009,18,0.4172
7,BC,0.2815,21,0.4757,ACE,0.0994,20,0.401
8,BH,0.2778,10,0.6228,BEH,0.0993,9,0.4803
9,AG,0.275,12,0.6089,ADE,0.0956,5,0.5056
10,AH,0.2639,13,0.6039,AEG,0.0919,11,0.467
11,EH,0.2593,2,0.7038,AEH,0.0898,8,0.4846
12,DH,0.2585,8,0.6585,ACD,0.0889,24,0.3804
13,EJ,0.2529,17,0.5341,BCD,0.0848,26,0.3549
14,GH,0.2503,15,0.5675,ADH,0.0787,13,0.4404
15,EG,0.2495,7,0.6592,EHJ,0.0754,23,0.3939
16,BG,0.2438,14,0.5758,BEG,0.0747,17,0.4238
17,CD,0.2383,27,0.4372,EGH,0.0742,14,0.4395
18,CE,0.238,24,0.4547,ACG,0.0741,33,0.3298
19,IK,0.2232,58,0.2965,BCE,0.0734,29,0.3413
